Id,Time[ns],Parallel: Items
5,6081200.00000000000000000000,21
6,6084360.00000000000000000000,20
7,6087510.00000000000000000000,24
8,6087520.00000000000000000000,04
9,6090680.00000000000000000000,00
10,6093830.00000000000000000000,01
11,6096980.00000000000000000000,07
12,6096990.00000000000000000000,06
13,6100140.00000000000000000000,0C
14,6100150.00000000000000000000,08
15,6103300.00000000000000000000,0C
16,6103310.00000000000000000000,04
17,6106450.00000000000000000000,C5
18,6109610.00000000000000000000,EC
19,6109620.00000000000000000000,A8
20,6112760.00000000000000000000,EC
21,6112780.00000000000000000000,CC
22,6115920.00000000000000000000,DD
23,6115930.00000000000000000000,9D
24,6119080.00000000000000000000,5F
25,6119100.00000000000000000000,4F
26,6122230.00000000000000000000,9F
27,6122240.00000000000000000000,D9
28,6122260.00000000000000000000,99
29,6125390.00000000000000000000,5D
30,6125400.00000000000000000000,55
31,6128550.00000000000000000000,56
32,6128560.00000000000000000000,12
33,6131700.00000000000000000000,D3
34,6131710.00000000000000000000,D1
35,6134860.00000000000000000000,57
36,6134870.00000000000000000000,17
37,6138010.00000000000000000000,77
38,6138020.00000000000000000000,FD
39,6138030.00000000000000000000,F9
40,6141170.00000000000000000000,FF
41,6141180.00000000000000000000,8E
42,6144330.00000000000000000000,DC
43,6144340.00000000000000000000,D0
44,6147480.00000000000000000000,DB
45,6147490.00000000000000000000,5B
46,6150640.00000000000000000000,7F
47,6150650.00000000000000000000,6F
48,6153800.00000000000000000000,2C
49,6156950.00000000000000000000,3E
50,6156960.00000000000000000000,3A
51,6156970.00000000000000000000,1A
52,6160110.00000000000000000000,3B
53,6160120.00000000000000000000,33
54,6163260.00000000000000000000,B3
55,6163270.00000000000000000000,B2
56,6166420.00000000000000000000,35
57,6166430.00000000000000000000,25
58,6169580.00000000000000000000,B6
59,6169600.00000000000000000000,B2
60,6172730.00000000000000000000,BE
61,6172740.00000000000000000000,3C
62,6172750.00000000000000000000,1C
63,6175890.00000000000000000000,F9
64,6175900.00000000000000000000,FD
65,6175910.00000000000000000000,F9
66,6179050.00000000000000000000,59
67,6179060.00000000000000000000,19
68,6182200.00000000000000000000,25
69,6182210.00000000000000000000,3D
70,6182220.00000000000000000000,25
71,6185360.00000000000000000000,75
72,6185370.00000000000000000000,71
73,6188510.00000000000000000000,F7
74,6188520.00000000000000000000,87
75,6191670.00000000000000000000,77
76,6194830.00000000000000000000,74
77,6197980.00000000000000000000,77
78,6197990.00000000000000000000,23
79,6201140.00000000000000000000,F0
80,6201160.00000000000000000000,D0
81,6204290.00000000000000000000,F0
82,6204300.00000000000000000000,BD
83,6204310.00000000000000000000,AD
84,6207450.00000000000000000000,EF
85,6207460.00000000000000000000,EB
86,6207470.00000000000000000000,CB
87,6210610.00000000000000000000,4A
88,6210620.00000000000000000000,02
89,6213760.00000000000000000000,62
90,6213770.00000000000000000000,60
91,6216920.00000000000000000000,9E
92,6220080.00000000000000000000,3F
93,6220090.00000000000000000000,37
94,6223230.00000000000000000000,B7
95,6223240.00000000000000000000,97
96,6226390.00000000000000000000,1C
97,6229540.00000000000000000000,5C
98,6229550.00000000000000000000,5D
99,6229560.00000000000000000000,59
100,6232700.00000000000000000000,DB
101,6232710.00000000000000000000,8A
102,6235860.00000000000000000000,4B
103,6239010.00000000000000000000,3B
104,6239020.00000000000000000000,B8
105,6242170.00000000000000000000,BC
106,6242190.00000000000000000000,B4
107,6245330.00000000000000000000,AE
108,6248480.00000000000000000000,FE
109,6248490.00000000000000000000,FC
110,6248500.00000000000000000000,F8
111,6251640.00000000000000000000,FB
