对比结果:
索引	内存数据	波形数据	匹配状态
--------------------------------------------------
000	0x21	0x21	✓
001	0x20	0x20	✓
002	0x04	0x24	✗
003	0x00	0x04	✗
004	0x01	0x00	✗
005	0x06	0x01	✗
006	0x08	0x07	✗
007	0x04	0x06	✗
008	0xC5	0x0C	✗
009	0xA8	0x08	✗
010	0xDC	0x0C	✗
011	0x09	0x04	✗
012	0x4F	0xC5	✗
013	0x99	0xEC	✗
014	0x55	0xA8	✗
015	0x12	0xEC	✗
016	0xD1	0xCC	✗
017	0x17	0xDD	✗
018	0xF9	0x9D	✗
019	0x8E	0x5F	✗
020	0xD0	0x4F	✗
021	0x5B	0x9F	✗
022	0x6F	0xD9	✗
023	0x2C	0x99	✗
024	0x1A	0x5D	✗
025	0x33	0x55	✗
026	0xB2	0x56	✗
027	0x25	0x12	✗
028	0xB2	0xD3	✗
029	0x1C	0xD1	✗
030	0xF9	0x57	✗
031	0x19	0x17	✗
032	0x25	0x77	✗
033	0x71	0xFD	✗
034	0x87	0xF9	✗
035	0x77	0xFF	✗
036	0x74	0x8E	✗
037	0x23	0xDC	✗
038	0xD0	0xD0	✓
039	0xAD	0xDB	✗
040	0xCB	0x5B	✗
041	0x02	0x7F	✗
042	0x60	0x6F	✗
043	0x9E	0x2C	✗
044	0x37	0x3E	✗
045	0x97	0x3A	✗
046	0x1C	0x1A	✗
047	0x59	0x3B	✗
048	0x8A	0x33	✗
049	0x4B	0xB3	✗
050	0xB8	0xB2	✗
051	0xB4	0x35	✗
052	0xAE	0x25	✗
053	0xF8	0xB6	✗
054	0xE3	0xB2	✗
055	0x04	0xBE	✗
056	0xF5	0x3C	✗
057	0xAF	0x1C	✗
058	0x36	0xF9	✗
059	0x85	0xFD	✗
060	0xB1	0xF9	✗
061	0x95	0x59	✗
062	0xC4	0x19	✗
063	0xC9	0x25	✗
064	0x08	0x3D	✗
065	0x99	0x25	✗
066	0x21	0x75	✗
067	0x35	0x71	✗
068	0x08	0xF7	✗
069	0xDB	0x87	✗
070	0x13	0x77	✗
071	0xC6	0x74	✗
072	0x91	0x77	✗
073	0x33	0x23	✗
074	0x22	0xF0	✗
075	0x13	0xD0	✗
076	0x19	0xF0	✗
077	0x1E	0xBD	✗
078	0x57	0xAD	✗
079	0xFF	0xEF	✗
--------------------------------------------------
发现 77 处不匹配!

总比对字节数: 80
内存数据长度: 80 字节
波形数据长度: 7831 字节
