Index	GDB Data	File Data	Match?
----------------------------------------
0000	0x21	0x21	✓
0001	0x20	0x20	✓
0002	0x04	0x24	✗
0003	0x00	0x04	✗
0004	0x01	0x00	✗
0005	0x06	0x01	✗
0006	0x08	0x07	✗
0007	0x04	0x06	✗
0008	0xC5	0x0C	✗
0009	0xA8	0x08	✗
0010	0xDC	0x0C	✗
0011	0x09	0x04	✗
0012	0x4F	0xC5	✗
0013	0x99	0xEC	✗
0014	0x55	0xA8	✗
0015	0x12	0xEC	✗
0016	0xD1	0xCC	✗
0017	0x17	0xDD	✗
0018	0xF9	0x9D	✗
0019	0x8E	0x5F	✗
0020	0xD0	0x4F	✗
0021	0x5B	0x9F	✗
0022	0x6F	0xD9	✗
0023	0x2C	0x99	✗
0024	0x1A	0x5D	✗
0025	0x33	0x55	✗
0026	0xB2	0x56	✗
0027	0x25	0x12	✗
0028	0xB2	0xD3	✗
0029	0x1C	0xD1	✗
0030	0xF9	0x57	✗
0031	0x19	0x17	✗
0032	0x25	0x77	✗
0033	0x71	0xFD	✗
0034	0x87	0xF9	✗
0035	0x77	0xFF	✗
0036	0x74	0x8E	✗
0037	0x23	0xDC	✗
0038	0xD0	0xD0	✓
0039	0xAD	0xDB	✗
0040	0xCB	0x5B	✗
0041	0x02	0x7F	✗
0042	0x60	0x6F	✗
0043	0x9E	0x2C	✗
0044	0x37	0x3E	✗
0045	0x97	0x3A	✗
0046	0x1C	0x1A	✗
0047	0x59	0x3B	✗
0048	0x8A	0x33	✗
0049	0x4B	0xB3	✗
0050	0xB8	0xB2	✗
0051	0xB4	0x35	✗
0052	0xAE	0x25	✗
0053	0xF8	0xB6	✗
0054	0xE3	0xB2	✗
0055	0x04	0xBE	✗
0056	0xF5	0x3C	✗
0057	0xAF	0x1C	✗
0058	0x36	0xF9	✗
0059	0x85	0xFD	✗
0060	0xB1	0xF9	✗
0061	0x95	0x59	✗
0062	0xC4	0x19	✗
0063	0xC9	0x25	✗
0064	0x08	0x3D	✗
0065	0x99	0x25	✗
0066	0x21	0x75	✗
0067	0x35	0x71	✗
0068	0x08	0xF7	✗
0069	0xDB	0x87	✗
0070	0x13	0x77	✗
0071	0xC6	0x74	✗
0072	0x91	0x77	✗
0073	0x33	0x23	✗
0074	0x22	0xF0	✗
0075	0x13	0xD0	✗
0076	0x19	0xF0	✗
0077	0x1E	0xBD	✗
0078	0x57	0xAD	✗
0079	0xFF	0xEF	✗

Length mismatch: GDB=80, File=7831
